State/UT,Facility Type,Total No. of Facilities #,No. of facilities reporting nil performance *,Performance - Overall Average **,Performance - Maximum,Performance - Minimum,No. of facilities by performance - 1 to 100,No. of facilities by performance - 101 to 500,No. of facilities by performance - 501 to 1000,No. of facilities by performance - >1000
Madhya Pradesh Total distt - 51 Districts reporting facility wise - 51,SC,11276,11173,75.6,484,1,79,24,0,0
Maharashtra Total distt - 35 Districts reporting facility wise - 35,DH,48,18,2621.5,6609,71,1,1,3,25
Maharashtra Total distt - 35 Districts reporting facility wise - 35,SDH,100,25,1460.8,4849,139,0,9,18,48
Maharashtra Total distt - 35 Districts reporting facility wise - 35,CHC,432,297,1245.4,4972,60,1,19,35,80
Maharashtra Total distt - 35 Districts reporting facility wise - 35,PHC,2662,2475,423.7,14136,1,72,81,23,11
Maharashtra Total distt - 35 Districts reporting facility wise - 35,SC,10596,10373,74.2,684,1,175,44,4,0
Manipur Total distt - 9 Districts reporting facility wise - 9,DH,7,0,90.4,222,19,5,2,0,0
Manipur Total distt - 9 Districts reporting facility wise - 9,CHC,17,5,78.8,340,10,10,2,0,0
Manipur Total distt - 9 Districts reporting facility wise - 9,PHC,93,45,126.4,856,4,31,16,1,0
Manipur Total distt - 9 Districts reporting facility wise - 9,SC,418,414,27.8,65,5,4,0,0,0
Meghalaya Total distt - 11 Districts reporting facility wise - 11,DH,12,1,210.3,747,20,6,3,2,0
Meghalaya Total distt - 11 Districts reporting facility wise - 11,CHC,28,4,189.2,526,12,9,14,1,0
Meghalaya Total distt - 11 Districts reporting facility wise - 11,PHC,143,86,169.2,486,16,23,34,0,0
Mizoram Total distt - 9 Districts reporting facility wise - 9,DH,9,1,224.4,383,52,2,6,0,0
Mizoram Total distt - 9 Districts reporting facility wise - 9,SDH,3,2,42,42,42,1,0,0,0
Mizoram Total distt - 9 Districts reporting facility wise - 9,CHC,9,4,83,242,24,4,1,0,0
Mizoram Total distt - 9 Districts reporting facility wise - 9,PHC,64,61,63,76,39,3,0,0,0
Mizoram Total distt - 9 Districts reporting facility wise - 9,SC,368,367,30,30,30,1,0,0,0
Nagaland Total distt - 11 Districts reporting facility wise - 11,DH,11,3,70.3,230,6,6,2,0,0
